timestamp,model_name,error_message
2026-01-14 16:03:57,AndreaSimeri/LegalBERT_GDPR,"404 Client Error. (Request ID: Root=1-6967b05d-3079943d13456cdd72342dea;af8233e0-6678-43cb-8292-7adff71928a4)

Entry Not Found for url: https://huggingface.co/api/models/AndreaSimeri/LegalBERT_GDPR/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:03:58,studio-ousia/luke-base,"404 Client Error. (Request ID: Root=1-6967b05e-5759d4e57f476c6b1759e5c9;37a99163-9b87-4a74-9d11-5721eb23b463)

Entry Not Found for url: https://huggingface.co/api/models/studio-ousia/luke-base/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:03:58,ahmedrachid/FinancialBERT,"404 Client Error. (Request ID: Root=1-6967b05e-5b1612806fb85c357f23f57e;b58e0dad-5512-4915-915a-29949b62fcc1)

Entry Not Found for url: https://huggingface.co/api/models/ahmedrachid/FinancialBERT/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:03:59,google-bert/bert-base-uncased,"404 Client Error. (Request ID: Root=1-6967b05f-04bf82aa03ff8965792f3f92;ad36edb4-cce5-45d2-bb9f-c694f44ad613)

Entry Not Found for url: https://huggingface.co/api/models/google-bert/bert-base-uncased/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:03:59,FacebookAI/roberta-base,"404 Client Error. (Request ID: Root=1-6967b05f-58ebce0f351a3e6d31fddde7;861fb390-933f-469f-87d4-76950293d7f5)

Entry Not Found for url: https://huggingface.co/api/models/FacebookAI/roberta-base/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:03:59,FacebookAI/xlm-roberta-base,"404 Client Error. (Request ID: Root=1-6967b060-410f4cbf743bb1b83e0f8832;8db3ee36-54af-4c71-8640-09f7398e6335)

Entry Not Found for url: https://huggingface.co/api/models/FacebookAI/xlm-roberta-base/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:00,google/electra-base-discriminator,"404 Client Error. (Request ID: Root=1-6967b060-39c1326b4fe6a8131a492ab5;cd406dbf-b85f-4865-a725-7bd834580252)

Entry Not Found for url: https://huggingface.co/api/models/google/electra-base-discriminator/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:00,distilbert/distilbert-base-uncased,"404 Client Error. (Request ID: Root=1-6967b061-571fcf8a33507fd3126efdb9;0f2343c2-a612-4fe2-ad9e-b1f55391844e)

Entry Not Found for url: https://huggingface.co/api/models/distilbert/distilbert-base-uncased/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:01,albert/albert-base-v2,"404 Client Error. (Request ID: Root=1-6967b061-4d24a72b179db524622b6e35;9ec7ebda-127b-4f55-a9ec-87dec5608f5f)

Entry Not Found for url: https://huggingface.co/api/models/albert/albert-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:01,MoritzLaurer/DeBERTa-v3-xsmall-mnli-fever-anli-ling-binary,"404 Client Error. (Request ID: Root=1-6967b062-699b72d57db90a1f4d01eb17;cd6caac3-f563-4917-86a7-9b2bfea952f4)

Entry Not Found for url: https://huggingface.co/api/models/MoritzLaurer/DeBERTa-v3-xsmall-mnli-fever-anli-ling-binary/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:02,google/electra-base-discriminator,"404 Client Error. (Request ID: Root=1-6967b062-76d195102d1b671722e48e9f;0e58a321-d601-4330-b381-2d5d98670b4a)

Entry Not Found for url: https://huggingface.co/api/models/google/electra-base-discriminator/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:02,nlpaueb/legal-bert-base-uncased,"404 Client Error. (Request ID: Root=1-6967b062-0e3c6e0f0edb55ba5d51262d;bd52adb4-3d8b-48c4-936a-179afaa6a099)

Entry Not Found for url: https://huggingface.co/api/models/nlpaueb/legal-bert-base-uncased/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:03,nlpaueb/bert-base-uncased-contracts,"404 Client Error. (Request ID: Root=1-6967b063-74856d9a06ed13cb1a2eaa7e;dfafcb52-ad00-4351-beff-d7c4e2b1a1cd)

Entry Not Found for url: https://huggingface.co/api/models/nlpaueb/bert-base-uncased-contracts/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:03,nlpaueb/bert-base-uncased-eurlex,"404 Client Error. (Request ID: Root=1-6967b064-56f84cd0007b443d4682b050;12731147-0760-49b2-8929-bb212f6eaf3d)

Entry Not Found for url: https://huggingface.co/api/models/nlpaueb/bert-base-uncased-eurlex/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:04,nlpaueb/bert-base-uncased-echr,"404 Client Error. (Request ID: Root=1-6967b064-3a0681e56ef0d96a0b01fdd2;60487a1c-6e53-46cf-89de-96457d2d36d2)

Entry Not Found for url: https://huggingface.co/api/models/nlpaueb/bert-base-uncased-echr/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:55,AndreaSimeri/LegalBERT_GDPR,"404 Client Error. (Request ID: Root=1-6967b097-6b918d7943db17057d0da327;1199eb8b-6cdd-44b9-b0c1-883229c679be)

Entry Not Found for url: https://huggingface.co/api/models/AndreaSimeri/LegalBERT_GDPR/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:56,studio-ousia/luke-base,"404 Client Error. (Request ID: Root=1-6967b098-772bb7c37ec7c93a57375bd2;9708207c-c018-4269-a5ee-a459685c3e86)

Entry Not Found for url: https://huggingface.co/api/models/studio-ousia/luke-base/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:56,ahmedrachid/FinancialBERT,"404 Client Error. (Request ID: Root=1-6967b098-487e228038cd85327d24beca;4e2cd5a5-c8d7-40a8-88e1-0f4149543240)

Entry Not Found for url: https://huggingface.co/api/models/ahmedrachid/FinancialBERT/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:56,google-bert/bert-base-uncased,"404 Client Error. (Request ID: Root=1-6967b098-70e87a8a2c5d2cfe10b0c81e;73e49ef0-1d26-4ba7-85c3-ac69d960c4e3)

Entry Not Found for url: https://huggingface.co/api/models/google-bert/bert-base-uncased/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:56,FacebookAI/roberta-base,"404 Client Error. (Request ID: Root=1-6967b099-2f79ccf420835d565b1ccc5e;17efc217-2297-4672-ab7d-fe5879f1802f)

Entry Not Found for url: https://huggingface.co/api/models/FacebookAI/roberta-base/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:57,FacebookAI/xlm-roberta-base,"404 Client Error. (Request ID: Root=1-6967b099-7757a122005a76b334520d00;f0423a60-ae23-4e08-8ffa-281e4a6a7a6e)

Entry Not Found for url: https://huggingface.co/api/models/FacebookAI/xlm-roberta-base/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:57,google/electra-base-discriminator,"404 Client Error. (Request ID: Root=1-6967b099-39f027f27bff538427e1f743;7ebb7e7e-b728-4a57-a36d-71f4a040ce2f)

Entry Not Found for url: https://huggingface.co/api/models/google/electra-base-discriminator/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:57,distilbert/distilbert-base-uncased,"404 Client Error. (Request ID: Root=1-6967b09a-0a441f88107d9d8b024fc637;ccbc244f-d54b-45b7-b2b1-dce79f048437)

Entry Not Found for url: https://huggingface.co/api/models/distilbert/distilbert-base-uncased/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:58,albert/albert-base-v2,"404 Client Error. (Request ID: Root=1-6967b09a-152443e6009c1b2b0b2e12fe;0916c604-7367-4367-8b45-0205824e90e7)

Entry Not Found for url: https://huggingface.co/api/models/albert/albert-base-v2/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
2026-01-14 16:04:58,MoritzLaurer/DeBERTa-v3-xsmall-mnli-fever-anli-ling-binary,"404 Client Error. (Request ID: Root=1-6967b09a-226cb8eb3ef0999f71a117da;b6d7f5ea-fad9-498a-9e1f-9aa6a11058b3)

Entry Not Found for url: https://huggingface.co/api/models/MoritzLaurer/DeBERTa-v3-xsmall-mnli-fever-anli-ling-binary/tree/main/additional_chat_templates?recursive=false&expand=false.
additional_chat_templates does not exist on ""main"""
